X_id,REPORT_YEAR,CATEGORY,SUBTYPE,ASSAULT_SUBTYPE,SEX,AGE_GROUP,AGE_COHORT,COUNT_
1,2014,Crimes Against the Person,Sexual Violation,N/A,M,Adult,18 to 24,23
2,2014,Crimes Against the Person,Sexual Violation,N/A,M,Adult,25 to 34,29
3,2014,Crimes Against the Person,Sexual Violation,N/A,M,Adult,35 to 44,9
4,2014,Crimes Against the Person,Sexual Violation,N/A,M,Adult,45 to 54,13
5,2014,Crimes Against the Person,Sexual Violation,N/A,M,Adult,55 to 64,7
6,2014,Crimes Against the Person,Sexual Violation,N/A,M,Adult,65+,2
7,2014,Crimes Against the Person,Sexual Violation,N/A,M,Child,<12,106
9,2014,Crimes Against the Person,Sexual Violation,N/A,M,Youth,12 to 17,70
11,2015,Crimes Against the Person,Assault,Assault Peace Officer,F,Adult,25 to 34,4
12,2015,Crimes Against the Person,Assault,Assault Peace Officer,F,Adult,35 to 44,7
13,2015,Crimes Against the Person,Assault,Assault Peace Officer,F,Adult,45 to 54,2
14,2015,Crimes Against the Person,Assault,Assault Peace Officer,F,Adult,65+,2
16,2015,Crimes Against the Person,Assault,Assault Peace Officer,M,Adult,18 to 24,1
17,2015,Crimes Against the Person,Assault,Assault Peace Officer,M,Adult,25 to 34,26
18,2015,Crimes Against the Person,Assault,Assault Peace Officer,M,Adult,35 to 44,25
19,2015,Crimes Against the Person,Assault,Assault Peace Officer,M,Adult,45 to 54,10
20,2015,Crimes Against the Person,Assault,Assault Peace Officer,M,Adult,55 to 64,3
21,2015,Crimes Against the Person,Assault,Assault Peace Officer,M,Adult,65+,5
24,2015,Crimes Against the Person,Assault,Assault Peace Officer Weapon/Bodily Harm,F,Adult,25 to 34,1
26,2015,Crimes Against the Person,Assault,Assault Peace Officer Weapon/Bodily Harm,M,Adult,18 to 24,1
27,2015,Crimes Against the Person,Assault,Assault Peace Officer Weapon/Bodily Harm,M,Adult,35 to 44,1
28,2015,Crimes Against the Person,Assault,Assault Peace Officer Weapon/Bodily Harm,M,Adult,45 to 54,2
29,2015,Crimes Against the Person,Assault,Assault Peace Officer Weapon/Bodily Harm,M,Adult,55 to 64,1
31,2015,Crimes Against the Person,Assault,Assault Resist Arrest,F,Adult,18 to 24,10
